N,N1overd,Method,Kt,AsmSolve_s,Eval_s,Sparsity,Cond
4,4,PLS,NaN,5.39e-05,0.0032041,NaN,NaN
4,4,Diag,NaN,2.95e-05,0.0047059,NaN,NaN
4,4,FS,10000,0.0001679,0.0024298,0.75,1
4,4,FS,100000000,0.0002261,0.0027818,0.75,1
4,4,FS,1000000000000,0.0003125,0.0031329,0.5,1.20280003946809
4,4,FC,10000,0.0001497,0.0022804,0,12034.5728796082
4,4,FC,100000000,0.0002252,0.0026951,0,119984080.601143
4,4,FC,1000000000000,0.0005472,0.0040765,0,1172357883840.63
8,8,PLS,NaN,2.26e-05,0.002373,NaN,NaN
8,8,Diag,NaN,1.5e-05,0.0030714,NaN,NaN
8,8,FS,10000,0.0001858,0.0029997,0.875,1
8,8,FS,100000000,0.0002456,0.0031629,0.875,1
8,8,FS,1000000000000,0.0001842,0.0034279,0.46875,35.7953380837284
8,8,FC,10000,0.0002037,0.003345,0,14474.0044030537
8,8,FC,100000000,0.0001942,0.003085,0,133881285.0464
8,8,FC,1000000000000,0.0001747,0.0029463,0,1338921255780.85
16,16,PLS,NaN,2.06e-05,0.0041501,NaN,NaN
16,16,Diag,NaN,1.9e-05,0.004876,NaN,NaN
16,16,FS,10000,0.0003123,0.0044627,0.9375,1
16,16,FS,100000000,0.000268,0.0048109,0.921875,1.41735602153152
16,16,FS,1000000000000,0.0002935,0.0044047,0.453125,4444.7981744515
16,16,FC,10000,0.0003561,0.0043984,0.3046875,14384.1971302996
16,16,FC,100000000,0.00032,0.0047172,0,133956061.69938
16,16,FC,1000000000000,0.0002711,0.0045709,0,1322340833502.97
32,32,PLS,NaN,5.14e-05,0.0079092,NaN,NaN
32,32,Diag,NaN,4.7e-05,0.0083765,NaN,NaN
32,32,FS,10000,0.0003699,0.0085083,0.96875,1
32,32,FS,100000000,0.000443,0.0081099,0.9296875,91.9841583747502
32,32,FS,1000000000000,0.000456,0.0076208,0.44921875,609870.473600937
32,32,FC,10000,0.0005264,0.0077354,0.755859375,14539.7066843352
32,32,FC,100000000,0.0005823,0.0077263,0,148333232.850363
32,32,FC,1000000000000,0.0004356,0.0077613,0,1319964904943.24
64,64,PLS,NaN,0.0002093,0.0159071,NaN,NaN
64,64,Diag,NaN,0.000211,0.0159549,NaN,NaN
64,64,FS,10000,0.0008112,0.0148366,0.982421875,3.33483701483507
64,64,FS,100000000,0.0010173,0.015728,0.92333984375,9653.00413036672
64,64,FS,1000000000000,0.001167,0.0161252,0.44482421875,83054596.1078102
64,64,FC,10000,0.0009328,0.0161727,0.91748046875,14519.289942783
64,64,FC,100000000,0.0012729,0.0160295,0.3779296875,147084590.448224
64,64,FC,1000000000000,0.0012875,0.0161108,0,1343131217059.06
128,128,PLS,NaN,0.0005509,0.0361322,NaN,NaN
128,128,Diag,NaN,0.0005436,0.0341371,NaN,NaN
128,128,FS,10000,0.0014437,0.0329991,0.989501953125,142.422944415927
128,128,FS,100000000,0.0017767,0.0324862,0.9266357421875,1164241.33762783
128,128,FS,1000000000000,0.0036559,0.033575,0.442138671875,11045762730.1394
128,128,FC,10000,0.0017619,0.0331511,0.97607421875,14514.2403978743
128,128,FC,100000000,0.0025035,0.033158,0.7740478515625,147784026.121617
128,128,FC,1000000000000,0.0054984,0.0361612,0,1500847693553.46
256,256,PLS,NaN,0.0017248,0.0680669,NaN,NaN
256,256,Diag,NaN,0.0015808,0.0659528,NaN,NaN
256,256,FS,10000,0.0034527,0.0690702,0.99237060546875,14228.0665959361
256,256,FS,100000000,0.0043199,0.0692966,0.9263916015625,147218360.518865
256,256,FS,1000000000000,0.0166866,0.0748447,0.441986083984375,1443701836267.77
256,256,FC,10000,0.0036475,0.0680984,0.9923095703125,14512.997978499
256,256,FC,100000000,0.0046627,0.0729404,0.92633056640625,147609639.729078
256,256,FC,1000000000000,0.0155052,0.0760403,0.438720703125,1480062952410.55
